game_id,home_expected_qb_epa,home_baseline_qb_epa,home_expected_qb_name,home_baseline_qb_name,home_depth_chart_date,home_qb_context_source,home_baseline_qb_source,home_qb_context_confidence,away_expected_qb_epa,away_baseline_qb_epa,away_expected_qb_name,away_baseline_qb_name,away_depth_chart_date,away_qb_context_source,away_baseline_qb_source,away_qb_context_confidence
2026_03_ATL_GB,0.09935263694656718,0.09119505734972227,Jordan Love,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.009122142189331384,-0.08619853484479087,Michael Penix Jr.,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_CAR_CLE,-0.0861579821740003,-0.20047449836023742,Deshaun Watson,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.015450455099794471,-0.020730692612820668,Bryce Young,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_CIN_PIT,-0.10028386971852905,-0.10288752056586492,Aaron Rodgers,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.051702013071433524,0.0034295460353938427,Joe Burrow,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_HOU_IND,-0.02345943277865919,-0.04577984898530911,Daniel Jones,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.02735298668704522,-0.050069426078344054,C.J. Stroud,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_KC_MIA,0.01152842637696642,-0.020436673980102526,Malik Willis,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.06275112994337684,-0.00962456024765857,Patrick Mahomes,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_LAC_BUF,0.11508366538209072,0.13884442804033578,Josh Allen,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.03909749962088189,-0.08928667307345207,Justin Herbert,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_NE_JAX,0.05201063649865661,0.0570374888917313,Trevor Lawrence,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.006076025911779525,-0.005747185198929702,Drake Maye,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_NYJ_DET,0.12533359611644712,0.11970712611845634,Jared Goff,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.061647533004330665,-0.11163086042593957,Geno Smith,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_SEA_WAS,-0.02064003373736896,-0.00671895696493029,Marcus Mariota,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart+espn-out-filter,recency-dropback-weighted-team-qb,availability-filtered+embedded-baseline,0.03966939949364169,0.07502858734896518,Sam Darnold,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
2026_03_TEN_NYG,-0.07090164610943579,-0.03413393096498697,Jameis Winston,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.12683192928945555,-0.14714999540460683,Cam Ward,Embedded team QB,2026-09-24 12:42:08+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline
