game_id,home_expected_qb_epa,home_baseline_qb_epa,home_expected_qb_name,home_baseline_qb_name,home_depth_chart_date,home_qb_context_confidence,away_expected_qb_epa,away_baseline_qb_epa,away_expected_qb_name,away_baseline_qb_name,away_depth_chart_date,away_qb_context_confidence
2026_01_NE_SEA,0.023034922116982055,-0.09843459472296043,Sam Darnold,D.Lock,2026-09-12 11:36:06+00:00,depth-chart,0.0029566405772294335,0.0029566405772294335,Drake Maye,D.Maye,2026-09-12 11:36:06+00:00,depth-chart
2026_01_SF_LA,0.09446018393743008,0.09446018393743008,Matthew Stafford,M.Stafford,2026-09-12 11:36:06+00:00,depth-chart,0.057915179188435306,0.057915179188435306,Brock Purdy,B.Purdy,2026-09-12 11:36:06+00:00,depth-chart
2026_01_ATL_PIT,-0.06700168829411011,-0.06700168829411011,Aaron Rodgers,A.Rodgers,2026-09-12 11:36:06+00:00,depth-chart,0.0161713481986751,-0.026658837983798405,Tua Tagovailoa,K.Cousins,2026-09-12 11:36:06+00:00,depth-chart
2026_01_BAL_IND,-0.022267924978640614,-0.15413939419528846,Daniel Jones,R.Leonard,2026-09-12 11:36:06+00:00,depth-chart,0.024654374823536926,0.024654374823536926,Lamar Jackson,L.Jackson,2026-09-12 11:36:06+00:00,depth-chart
2026_01_BUF_HOU,-0.03654956020856167,-0.03654956020856167,C.J. Stroud,C.Stroud,2026-09-12 11:36:06+00:00,depth-chart,0.06406056523350424,0.06406056523350424,Josh Allen,J.Allen,2026-09-12 11:36:06+00:00,depth-chart
2026_01_CHI_CAR,-0.07584303891409404,-0.07584303891409404,Bryce Young,B.Young,2026-09-12 11:36:06+00:00,depth-chart,0.019057217154669615,0.019057217154669615,Caleb Williams,C.Williams,2026-09-12 11:36:06+00:00,depth-chart
2026_01_CLE_JAX,0.021212686320780442,0.021212686320780442,Trevor Lawrence,T.Lawrence,2026-09-12 11:36:06+00:00,depth-chart,-0.11467897453957335,-0.22327172441330664,Deshaun Watson,S.Sanders,2026-09-12 11:36:06+00:00,depth-chart
2026_01_NO_DET,0.10219485767320746,0.10219485767320746,Jared Goff,J.Goff,2026-09-12 11:36:06+00:00,depth-chart,-0.05381046836134424,-0.05381046836134424,Tyler Shough,T.Shough,2026-09-12 11:36:06+00:00,depth-chart
2026_01_NYJ_TEN,-0.14860254092284453,-0.24558422465970278,Cam Ward,B.Allen,2026-09-12 11:36:06+00:00,depth-chart,-0.1121424008215176,-0.25954415159491595,Geno Smith,B.Cook,2026-09-12 11:36:06+00:00,depth-chart
2026_01_TB_CIN,0.055671712234987465,0.055671712234987465,Joe Burrow,J.Burrow,2026-09-12 11:36:06+00:00,depth-chart,-0.005807448005053702,-0.005807448005053702,Baker Mayfield,B.Mayfield,2026-09-12 11:36:06+00:00,depth-chart
2026_01_ARI_LAC,-0.04524894308706908,-0.04524894308706908,Justin Herbert,J.Herbert,2026-09-12 11:36:06+00:00,depth-chart,-0.05717330426304115,-0.05717330426304115,Jacoby Brissett,J.Brissett,2026-09-12 11:36:06+00:00,depth-chart
2026_01_GB_MIN,0.0040298395244937136,-0.13846846134013396,Kyler Murray,J.McCarthy,2026-09-12 11:36:06+00:00,depth-chart,0.12078258863327808,0.12078258863327808,Jordan Love,J.Love,2026-09-12 11:36:06+00:00,depth-chart
2026_01_MIA_LV,-0.026658837983798405,-0.058353684582851666,Kirk Cousins,A.O'Connell,2026-09-12 11:36:06+00:00,depth-chart,0.008529569193301625,-0.10794093674009798,Malik Willis,Q.Ewers,2026-09-12 11:36:06+00:00,depth-chart
2026_01_WAS_PHI,0.004856022677169208,0.004856022677169208,Jalen Hurts,J.Hurts,2026-09-12 11:36:06+00:00,depth-chart,-0.019641547325031754,-0.030757144692717776,Jayden Daniels,J.Johnson,2026-09-12 11:36:06+00:00,depth-chart
2026_01_DAL_NYG,-0.05638469482013448,-0.05638469482013448,Jaxson Dart,J.Dart,2026-09-12 11:36:06+00:00,depth-chart,0.0674445858516736,-0.05859688756886608,Dak Prescott,J.Milton,2026-09-12 11:36:06+00:00,depth-chart
2026_01_DEN_KC,0.04263644092331693,-0.23602491245661328,Patrick Mahomes,C.Oladokun,2026-09-12 11:36:06+00:00,depth-chart,0.03466855495041766,-0.14143190820479645,Bo Nix,J.Stidham,2026-09-12 11:36:06+00:00,depth-chart
