game_id,home_team,away_team,location,roof,surface,stadium,weather_available,weather_source,forecast_time_utc,temperature_f,wind_mph,wind_gust_mph,precipitation_probability_pct,precipitation_in,weather_code,weather_auto_points
2026_01_NE_SEA,SEA,NE,Home,outdoors,fieldturf,Lumen Field,True,open-meteo,2026-09-13 00:00:00+00:00,64.5,1.4,2.9,3,0.0,3,0.0
2026_01_SF_LA,LA,SF,Neutral,dome,grass,Melbourne Cricket Ground,False,missing,,,,,,,,0.0
2026_01_ATL_PIT,PIT,ATL,Home,outdoors,grass,Acrisure Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,77.7,4.1,7.8,2,0.0,3,0.0
2026_01_BAL_IND,IND,BAL,Home,,fieldturf,Lucas Oil Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,80.0,3.9,9.6,0,0.0,0,0.0
2026_01_BUF_HOU,HOU,BUF,Home,,astroturf,Reliant Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,95.1,4.5,7.8,6,0.0,3,0.0
2026_01_CHI_CAR,CAR,CHI,Home,outdoors,grass,Bank of America Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,85.2,3.7,7.4,0,0.0,1,0.0
2026_01_CLE_JAX,JAX,CLE,Home,outdoors,grass,EverBank Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,87.8,7.6,10.5,5,0.0,0,0.0
2026_01_NO_DET,DET,NO,Home,dome,fieldturf,Ford Field,True,open-meteo,2026-09-13 17:00:00+00:00,80.3,9.7,13.0,1,0.0,1,0.0
2026_01_NYJ_TEN,TEN,NYJ,Home,outdoors,grass,Nissan Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,90.9,3.6,7.2,0,0.0,3,0.0
2026_01_TB_CIN,CIN,TB,Home,outdoors,fieldturf,Paycor Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,86.7,5.4,10.5,0,0.0,0,0.0
2026_01_ARI_LAC,LAC,ARI,Home,dome,matrixturf,SoFi Stadium,True,open-meteo,2026-09-13 20:00:00+00:00,80.4,9.0,10.3,0,0.0,0,0.0
2026_01_GB_MIN,MIN,GB,Home,dome,sportturf,U.S. Bank Stadium,True,open-meteo,2026-09-13 20:00:00+00:00,70.4,9.4,15.7,0,0.0,0,0.0
2026_01_MIA_LV,LV,MIA,Home,dome,grass,Allegiant Stadium,True,open-meteo,2026-09-13 20:00:00+00:00,99.2,18.0,25.3,0,0.0,0,0.0
2026_01_WAS_PHI,PHI,WAS,Home,outdoors,grass,Lincoln Financial Field,True,open-meteo,2026-09-13 20:00:00+00:00,80.3,1.6,8.5,2,0.0,1,0.0
2026_01_DAL_NYG,NYG,DAL,Home,outdoors,fieldturf,MetLife Stadium,True,open-meteo,2026-09-14 00:00:00+00:00,73.6,4.0,5.6,0,0.0,0,0.0
2026_01_DEN_KC,KC,DEN,Home,outdoors,grass,GEHA Field at Arrowhead Stadium,True,open-meteo,2026-09-15 00:00:00+00:00,91.2,14.3,31.1,1,0.0,0,0.0
