season,week,team,player_id,player_name,position_group,status,report_date,source
2026,1,ARI,,Jeremiyah Love,RB,questionable,2026-09-03 17:49:00+00:00,espn
2026,1,ARI,,Michael Wilson,WR,active,2026-09-03 17:00:00+00:00,espn
2026,1,ARI,,Tyler Allgeier,RB,active,2026-09-03 15:34:00+00:00,espn
2026,1,ARI,,Trey McBride,TE,active,2026-09-02 23:38:00+00:00,espn
2026,1,ARI,,Marvin Harrison Jr.,WR,active,2026-09-02 22:49:00+00:00,espn
2026,1,ARI,,Zachary Carter,IDL,unknown,2026-08-31 22:42:00+00:00,espn
2026,1,ARI,,Will Johnson,CB,questionable,2026-08-31 22:12:00+00:00,espn
2026,1,ARI,,Carson Beck,QB,active,2026-08-31 19:30:00+00:00,espn
2026,1,ARI,,Tip Reiman,TE,out,2026-08-31 03:56:00+00:00,espn
2026,1,ARI,,James Conner,RB,unknown,2026-08-30 21:50:00+00:00,espn
2026,1,ARI,,Hunter Long,TE,active,2026-08-30 14:30:00+00:00,espn
2026,1,ARI,,Reggie Virgil,WR,active,2026-08-30 03:37:00+00:00,espn
2026,1,ARI,,Jalen Brooks,WR,active,2026-08-30 03:31:00+00:00,espn
2026,1,ARI,,Elijah Higgins,TE,active,2026-08-29 04:11:00+00:00,espn
2026,1,ARI,,Gardner Minshew II,QB,active,2026-08-29 03:57:00+00:00,espn
2026,1,ARI,,Hjalte Froholdt,IOL,active,2026-08-25 23:38:00+00:00,espn
2026,1,ARI,,Trey Benson,RB,unknown,2026-08-25 23:07:00+00:00,espn
2026,1,ARI,,Josh Sweat,LB,active,2026-08-24 20:46:00+00:00,espn
2026,1,ARI,,Chad Ryland,PK,active,2026-08-23 06:07:00+00:00,espn
2026,1,ARI,,Dadrion Taylor-Demerson,S,questionable,2026-08-23 02:45:00+00:00,espn
2026,1,ARI,,Blake Gillikin,P,questionable,2026-08-23 02:12:00+00:00,espn
2026,1,ARI,,Garrett Williams,CB,active,2026-08-21 00:44:00+00:00,espn
2026,1,ARI,,Jacoby Brissett,QB,active,2026-08-20 21:14:00+00:00,espn
2026,1,ARI,,Valentin Senn,OT,active,2026-08-19 12:07:00+00:00,espn
2026,1,ARI,,Chase Bisontis,IOL,unknown,2026-08-19 12:07:00+00:00,espn
2026,1,ATL,,Jack Strand,QB,active,2026-09-04 04:44:00+00:00,espn
2026,1,ATL,,Michael Penix Jr.,QB,questionable,2026-09-03 13:23:00+00:00,espn
2026,1,ATL,,Da'Shawn Hand,IDL,active,2026-09-02 23:18:00+00:00,espn
2026,1,ATL,,Gervon Dexter Sr.,IDL,active,2026-09-02 23:13:00+00:00,espn
2026,1,ATL,,Brian Robinson Jr.,RB,active,2026-09-01 22:32:00+00:00,espn
2026,1,ATL,,Keshawn Banks,EDGE,unknown,2026-09-01 00:55:00+00:00,espn
2026,1,ATL,,JD Bertrand,LB,unknown,2026-08-31 23:31:00+00:00,espn
2026,1,ATL,,Anterio Thompson,IDL,out,2026-08-31 22:48:00+00:00,espn
2026,1,ATL,,Billy Bowman Jr.,CB,questionable,2026-08-31 15:38:00+00:00,espn
2026,1,ATL,,Beaux Collins,WR,unknown,2026-08-31 04:00:00+00:00,espn
2026,1,ATL,,Zachariah Branch,WR,active,2026-08-29 21:59:00+00:00,espn
2026,1,ATL,,Drake London,WR,active,2026-08-29 21:32:00+00:00,espn
2026,1,ATL,,Cooper Rush,QB,active,2026-08-29 20:59:00+00:00,espn
2026,1,ATL,,Jahan Dotson,WR,active,2026-08-29 02:35:00+00:00,espn
2026,1,ATL,,Kyle Pitts Sr.,TE,active,2026-08-29 02:24:00+00:00,espn
2026,1,ATL,,Tua Tagovailoa,QB,active,2026-08-29 02:20:00+00:00,espn
2026,1,ATL,,Nick Folk,PK,active,2026-08-22 20:28:00+00:00,espn
2026,1,ATL,,Trey Sermon,RB,unknown,2026-08-19 23:30:00+00:00,espn
2026,1,ATL,,Divine Deablo,LB,active,2026-08-19 23:13:00+00:00,espn
2026,1,ATL,,Malik Verdon,LB,unknown,2026-08-19 12:07:00+00:00,espn
2026,1,ATL,,James Pearce Jr.,LB,unknown,2026-08-19 12:07:00+00:00,espn
2026,1,ATL,,Xavier Watts,S,active,2026-08-19 12:07:00+00:00,espn
2026,1,ATL,,Za'Darius Smith,EDGE,active,2026-08-18 13:18:00+00:00,espn
2026,1,ATL,,Jessie Bates III,S,active,2026-08-17 23:52:00+00:00,espn
2026,1,ATL,,DeMarcco Hellams,S,active,2026-08-15 15:27:00+00:00,espn
2026,1,BAL,,Joe Fagnano,QB,active,2026-09-04 04:56:00+00:00,espn
2026,1,BAL,,Zay Flowers,WR,questionable,2026-09-03 16:28:00+00:00,espn
2026,1,BAL,,Mark Andrews,TE,active,2026-09-03 15:14:00+00:00,espn
2026,1,BAL,,Derrick Henry,RB,active,2026-09-01 17:52:00+00:00,espn
2026,1,BAL,,Lamar Jackson,QB,active,2026-09-01 16:50:00+00:00,espn
2026,1,BAL,,Bilhal Kone,CB,unknown,2026-08-31 22:46:00+00:00,espn
2026,1,BAL,,Tyler Loop,PK,active,2026-08-31 21:11:00+00:00,espn
2026,1,BAL,,Adam Randall,RB,unknown,2026-08-31 03:52:00+00:00,espn
2026,1,BAL,,Nnamdi Madubuike,IDL,questionable,2026-08-31 01:25:00+00:00,espn
2026,1,BAL,,Devontez Walker,WR,active,2026-08-29 06:45:00+00:00,espn
2026,1,BAL,,Elijah Sarratt,WR,active,2026-08-29 06:42:00+00:00,espn
2026,1,BAL,,Rasheen Ali,RB,active,2026-08-29 06:33:00+00:00,espn
2026,1,BAL,,Tyler Huntley,QB,active,2026-08-29 06:27:00+00:00,espn
2026,1,BAL,,Josh Cuevas,TE,active,2026-08-29 06:20:00+00:00,espn
2026,1,BAL,,Matthew Hibner,TE,active,2026-08-29 06:15:00+00:00,espn
2026,1,BAL,,Danny Pinter,IOL,unknown,2026-08-26 23:36:00+00:00,espn
2026,1,BAL,,Justice Hill,RB,active,2026-08-24 15:24:00+00:00,espn
2026,1,BAL,,Ja'Kobi Lane,WR,active,2026-08-22 23:58:00+00:00,espn
2026,1,BAL,,Rashod Bateman,WR,active,2026-08-21 22:54:00+00:00,espn
2026,1,BAL,,Ethan Pocic,IOL,active,2026-08-21 02:48:00+00:00,espn
2026,1,BAL,,Jahquez Robinson,S,unknown,2026-08-20 00:15:00+00:00,espn
2026,1,BAL,,Aeneas Peebles,IDL,questionable,2026-08-19 12:07:00+00:00,espn
2026,1,BAL,,Skylar Thompson,QB,unknown,2026-08-19 12:07:00+00:00,espn
2026,1,BAL,,Jay Higgins IV,LB,questionable,2026-08-19 12:07:00+00:00,espn
2026,1,BAL,,John Jenkins,IDL,active,2026-08-19 12:07:00+00:00,espn
2026,1,BUF,,Jedrick Wills Jr.,OT,active,2026-09-02 22:01:00+00:00,espn
2026,1,BUF,,Khalil Shakir,WR,questionable,2026-09-02 20:34:00+00:00,espn
2026,1,BUF,,Connor McGovern,IOL,active,2026-09-01 23:57:00+00:00,espn
2026,1,BUF,,Keon Coleman,WR,questionable,2026-09-01 19:23:00+00:00,espn
2026,1,BUF,,Ty Johnson,RB,questionable,2026-09-01 19:10:00+00:00,espn
2026,1,BUF,,Zane Durant,IDL,unknown,2026-08-31 04:09:00+00:00,espn
2026,1,BUF,,Tyrell Shavers,WR,out,2026-08-31 04:04:00+00:00,espn
2026,1,BUF,,Dalton Kincaid,TE,active,2026-08-29 01:12:00+00:00,espn
2026,1,BUF,,DJ Moore,WR,active,2026-08-29 00:57:00+00:00,espn
2026,1,BUF,,James Cook III,RB,active,2026-08-29 00:26:00+00:00,espn
2026,1,BUF,,Ray Davis,RB,active,2026-08-28 07:02:00+00:00,espn
2026,1,BUF,,Skyler Bell,WR,active,2026-08-28 03:50:00+00:00,espn
2026,1,BUF,,Alec Anderson,OT,active,2026-08-26 00:09:00+00:00,espn
2026,1,BUF,,Terrel Bernard,LB,questionable,2026-08-25 14:01:00+00:00,espn
2026,1,BUF,,Josh Allen,QB,active,2026-08-25 12:31:00+00:00,espn
2026,1,BUF,,Jude Bowry,OT,questionable,2026-08-25 02:33:00+00:00,espn
2026,1,BUF,,Dawson Knox,TE,active,2026-08-24 15:23:00+00:00,espn
2026,1,BUF,,Jackson Hawes,TE,active,2026-08-21 00:41:00+00:00,espn
2026,1,BUF,,Phidarian Mathis,IDL,unknown,2026-08-19 12:07:00+00:00,espn
2026,1,BUF,,Demetrius Flannigan-Fowles,LB,unknown,2026-08-19 12:07:00+00:00,espn
2026,1,BUF,,Chase Lundt,OT,active,2026-08-19 12:07:00+00:00,espn
2026,1,BUF,,Greg Gaines,IDL,active,2026-08-18 23:29:00+00:00,espn
2026,1,BUF,,Tyler Bass,PK,active,2026-08-18 19:45:00+00:00,espn
2026,1,BUF,,Dorian Williams,LB,active,2026-08-10 18:24:00+00:00,espn
2026,1,BUF,,C.J. Gardner-Johnson,S,active,2026-08-06 22:08:00+00:00,espn
2026,1,CAR,,Jalen Coker,WR,active,2026-09-04 00:03:00+00:00,espn
2026,1,CAR,,Bryce Young,QB,active,2026-09-03 23:55:00+00:00,espn
2026,1,CAR,,AJ Dillon,RB,active,2026-09-03 20:36:00+00:00,espn
2026,1,CAR,,Darren Waller,TE,active,2026-09-03 00:03:00+00:00,espn
2026,1,CAR,,Tetairoa McMillan,WR,active,2026-09-02 18:20:00+00:00,espn
2026,1,CAR,,Jonathon Brooks,RB,questionable,2026-09-02 17:23:00+00:00,espn
2026,1,CAR,,Brady Christensen,IOL,unknown,2026-09-01 23:48:00+00:00,espn
2026,1,CAR,,Chuba Hubbard,RB,questionable,2026-09-01 15:56:00+00:00,espn
2026,1,CAR,,Bam Martin-Scott,LB,unknown,2026-08-31 23:05:00+00:00,espn
2026,1,CAR,,Taylor Moton,OT,out,2026-08-31 23:00:00+00:00,espn
2026,1,CAR,,Ikem Ekwonu,OT,out,2026-08-31 22:52:00+00:00,espn
2026,1,CAR,,Tershawn Wharton,IDL,out,2026-08-31 16:12:00+00:00,espn
2026,1,CAR,,TeRah Edwards,IDL,active,2026-08-31 00:14:00+00:00,espn
2026,1,CAR,,Trevor Etienne,RB,unknown,2026-08-30 23:58:00+00:00,espn
2026,1,CAR,,Bobby Okereke,LB,active,2026-08-29 18:39:00+00:00,espn
2026,1,CAR,,John Metchie III,WR,active,2026-08-29 07:16:00+00:00,espn
