game_id,home_team,away_team,location,roof,surface,stadium,weather_available,weather_source,forecast_time_utc,temperature_f,wind_mph,wind_gust_mph,precipitation_probability_pct,precipitation_in,weather_code,weather_auto_points
2026_02_DET_BUF,BUF,DET,Home,outdoors,grass,Highmark Stadium,True,open-meteo,2026-09-20 00:00:00+00:00,61.3,6.8,11.9,5,0.0,3,0.0
2026_02_CAR_ATL,ATL,CAR,Home,,fieldturf,Mercedes-Benz Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,84.3,2.6,2.9,3,0.0,1,0.0
2026_02_CIN_HOU,HOU,CIN,Home,,astroturf,Reliant Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,92.0,0.7,4.5,1,0.0,1,0.0
2026_02_CLE_TB,TB,CLE,Home,outdoors,grass,Raymond James Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,85.7,2.8,3.8,6,0.0,1,0.0
2026_02_GB_NYJ,NYJ,GB,Home,outdoors,fieldturf,MetLife Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,67.1,9.8,23.0,70,0.028,53,0.0
2026_02_MIN_CHI,CHI,MIN,Home,outdoors,grass,Soldier Field,True,open-meteo,2026-09-20 17:00:00+00:00,65.7,12.7,20.6,46,0.016,51,0.0
2026_02_NO_BAL,BAL,NO,Home,outdoors,grass,M&T Bank Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,80.4,10.6,15.9,15,0.0,3,0.0
2026_02_PHI_TEN,TEN,PHI,Home,outdoors,grass,Nissan Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,96.4,2.8,11.0,1,0.0,1,0.0
2026_02_PIT_NE,NE,PIT,Home,outdoors,fieldturf,Gillette Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,59.6,6.3,15.2,71,0.0,3,0.0
2026_02_JAX_DEN,DEN,JAX,Home,outdoors,grass,Empower Field at Mile High,True,open-meteo,2026-09-20 20:00:00+00:00,76.1,6.2,15.7,1,0.0,0,0.0
2026_02_LV_LAC,LAC,LV,Home,dome,matrixturf,SoFi Stadium,True,open-meteo,2026-09-20 20:00:00+00:00,77.3,8.5,10.1,0,0.0,3,0.0
2026_02_MIA_SF,SF,MIA,Home,outdoors,grass,Levi's Stadium,True,open-meteo,2026-09-20 20:00:00+00:00,66.4,6.8,8.3,1,0.0,3,0.0
2026_02_SEA_ARI,ARI,SEA,Home,,grass,State Farm Stadium,False,missing,,,,,,,,0.0
2026_02_WAS_DAL,DAL,WAS,Home,,matrixturf,AT&T Stadium,False,missing,,,,,,,,0.0
2026_02_IND_KC,KC,IND,Home,outdoors,grass,GEHA Field at Arrowhead Stadium,False,missing,,,,,,,,0.0
2026_02_NYG_LA,LA,NYG,Home,dome,matrixturf,SoFi Stadium,False,missing,,,,,,,,0.0
