game_id,season,week,away_team,home_team,predicted_home_margin,spread_line,spread_edge,spread_side,predicted_total,total_line,total_edge,total_side,projected_away_score,projected_home_score,spread_model,total_model,game_type,gameday,weekday,gametime,away_score,home_score,location_x,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,away_spread_odds,home_spread_odds,under_odds,over_odds,div_game,roof_x,surface_x,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium_x,home_expected_qb_epa,home_baseline_qb_epa,home_expected_qb_name,home_baseline_qb_name,home_depth_chart_date,home_qb_context_source,home_baseline_qb_source,home_qb_context_confidence,away_expected_qb_epa,away_baseline_qb_epa,away_expected_qb_name,away_baseline_qb_name,away_depth_chart_date,away_qb_context_source,away_baseline_qb_source,away_qb_context_confidence,home_qb_change_points,away_qb_change_points,market_home_margin,home_injury_players_reported,home_injury_out_count,home_injury_doubtful_count,home_injury_questionable_count,home_injury_unknown_count,home_injury_report_date,home_injury_source,home_injury_auto_points,away_injury_players_reported,away_injury_out_count,away_injury_doubtful_count,away_injury_questionable_count,away_injury_unknown_count,away_injury_report_date,away_injury_source,away_injury_auto_points,location_y,roof_y,surface_y,stadium_y,weather_available,weather_source,forecast_time_utc,temperature_f,wind_mph,wind_gust_mph,precipitation_probability_pct,precipitation_in,weather_code,weather_auto_points
2026_02_DET_BUF,2026,2,DET,BUF,4.160353592218833,-5.5,-1.3396464077811672,DET,54.86566002207256,54.5,0.36566002207256076,OVER,25.352653214926864,29.513006807145697,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-17,Thursday,20:15,31.0,41.0,Home,10.0,72.0,0.0,2026091700,60194.0,,202609170buf,30635.0,401872932,7035.0,4,4,195.0,-238.0,-115.0,-105.0,-102.0,-118.0,0,outdoors,grass,67.0,4.0,00-0033106,00-0034857,Jared Goff,Josh Allen,Dan Campbell,Sean McDermott,Ron Torbert,BUF00,Highmark Stadium,0.12167505237406138,0.14541815670166336,Josh Allen,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.1312410310453157,0.12557270066625478,Jared Goff,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.2329720882832961,0.05561879134542157,5.5,25,7,0,1,0,2026-09-20 14:13:00+00:00,espn,0.0,25,7,0,1,0,2026-09-19 03:44:00+00:00,espn,0.0,Home,outdoors,grass,Highmark Stadium,True,open-meteo,2026-09-20 00:00:00+00:00,61.3,6.8,11.9,5,0.0,3,0.0
2026_02_CAR_ATL,2026,2,CAR,ATL,4.860965586538615,2.5,7.360965586538615,ATL,43.12979895782422,43.5,-0.3702010421757791,UNDER,19.134416685642805,23.995382272181416,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,13:00,,,Home,,,,2026092000,60195.0,,202609200atl,30622.0,401872933,7036.0,7,7,-155.0,130.0,-120.0,100.0,-110.0,-110.0,1,,fieldturf,,,00-0039150,00-0036212,Bryce Young,Tua Tagovailoa,Dave Canales,Raheem Morris,,ATL97,Mercedes-Benz Stadium,0.03877031634609346,-0.03711387293012123,Tua Tagovailoa,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart+espn-out-filter,recency-dropback-weighted-team-qb,availability-filtered+embedded-baseline,-0.03040038586032586,-0.03570338048913782,Bryce Young,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.7445908420160737,0.05203404389682871,-2.5,25,2,1,3,2,2026-09-20 13:41:00+00:00,espn,0.0,25,1,0,1,0,2026-09-18 21:45:00+00:00,espn,0.0,Home,,fieldturf,Mercedes-Benz Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,84.3,2.6,2.9,3,0.0,1,0.0
2026_02_CIN_HOU,2026,2,CIN,HOU,3.4664767656133213,-3.0,0.4664767656133213,HOU,43.41032016000834,45.5,-2.0896798399916605,UNDER,19.97192169719751,23.43839846281083,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,13:00,,,Home,,,,2026092003,60198.0,,202609200htx,30625.0,401872934,7039.0,7,7,124.0,-148.0,-118.0,-102.0,-110.0,-110.0,0,,astroturf,,,00-0036442,00-0039163,Joe Burrow,C.J. Stroud,Zac Taylor,DeMeco Ryans,,HOU00,Reliant Stadium,-0.011780164732968095,-0.03254939233743132,C.J. Stroud,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.0642436184160042,0.011712779558837549,Joe Burrow,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.20379181510051408,0.5154430970342907,3.0,25,4,0,0,2,2026-09-20 14:07:00+00:00,espn,0.0,25,0,0,2,2,2026-09-20 10:33:00+00:00,espn,0.0,Home,,astroturf,Reliant Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,92.0,0.7,4.5,1,0.0,1,0.0
2026_02_CLE_TB,2026,2,CLE,TB,6.140429886248284,-8.5,-2.359570113751716,CLE,41.52181753492336,41.5,0.021817534923357584,OVER,17.690693824337536,23.83112371058582,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,13:00,,,Home,,,,2026092006,60201.0,,202609200tam,30628.0,401872935,7042.0,7,7,330.0,-425.0,-115.0,-105.0,-112.0,-108.0,0,outdoors,grass,,,00-0033537,00-0034855,Deshaun Watson,Baker Mayfield,Todd Monken,Todd Bowles,,TAM00,Raymond James Stadium,-0.0004510321891409727,-0.011276020609533513,Baker Mayfield,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.10519109679547259,-0.22789898677641743,Deshaun Watson,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.1062169513785757,1.204034358071027,8.5,25,0,0,3,3,2026-09-20 11:05:00+00:00,espn,0.0,25,2,0,2,2,2026-09-20 12:31:00+00:00,espn,0.0,Home,outdoors,grass,Raymond James Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,85.7,2.8,3.8,6,0.0,1,0.0
2026_02_GB_NYJ,2026,2,GB,NYJ,-0.3555928433523354,3.5,3.144407156647665,NYJ,43.5036854737467,44.5,-0.9963145262533004,UNDER,21.929639158549517,21.574046315197183,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,13:00,,,Home,,,,2026092005,60200.0,,202609200nyj,30627.0,401872936,7041.0,7,7,-192.0,160.0,-112.0,-108.0,-110.0,-110.0,0,outdoors,fieldturf,,,00-0036264,00-0030565,Jordan Love,Geno Smith,Matt LaFleur,Aaron Glenn,,NYC01,MetLife Stadium,-0.0684056203486635,-0.12362458533477151,Geno Smith,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.12262045054755134,0.11363264338406426,Jordan Love,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.5418195282366891,0.08819016144956798,-3.5,25,3,0,1,2,2026-09-19 20:25:00+00:00,espn,0.0,25,2,0,3,0,2026-09-19 18:37:00+00:00,espn,0.0,Home,outdoors,fieldturf,MetLife Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,67.1,9.8,23.0,70,0.028,53,0.0
2026_02_MIN_CHI,2026,2,MIN,CHI,1.665447590016353,-4.5,-2.834552409983647,MIN,47.215339084567454,47.5,-0.28466091543254635,UNDER,22.77494574727555,24.440393337291905,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,13:00,,,Home,,,,2026092002,60197.0,,202609200chi,30624.0,401872937,7038.0,7,7,180.0,-218.0,-110.0,-110.0,-110.0,-110.0,1,outdoors,grass,,,00-0032950,00-0039918,Carson Wentz,Caleb Williams,Kevin O'Connell,Ben Johnson,,CHI98,Soldier Field,0.05957559106573188,0.05475378247393749,Caleb Williams,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.03507317693664798,-0.1139561827268779,Carson Wentz,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart+espn-out-filter,recency-dropback-weighted-team-qb,availability-filtered+embedded-baseline,0.047312550264404965,0.774015829414894,4.5,25,0,0,0,1,2026-09-20 14:13:00+00:00,espn,0.0,25,2,0,1,1,2026-09-19 21:17:00+00:00,espn,0.0,Home,outdoors,grass,Soldier Field,True,open-meteo,2026-09-20 17:00:00+00:00,65.7,12.7,20.6,46,0.016,51,0.0
2026_02_NO_BAL,2026,2,NO,BAL,5.0894935955993255,-8.5,-3.4105064044006745,NO,44.71927116331392,45.5,-0.7807288366860803,UNDER,19.8148887838573,24.90438237945662,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,13:00,,,Home,,,,2026092001,60196.0,,202609200rav,30623.0,401872938,7037.0,7,7,295.0,-375.0,-115.0,-105.0,-110.0,-110.0,0,outdoors,grass,,,00-0040743,00-0034796,Tyler Shough,Lamar Jackson,Kellen Moore,Jesse Minter,,BAL00,M&T Bank Stadium,0.0656792550441241,0.03282847985666465,Lamar Jackson,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.0231516746311632,-0.050221028634844574,Tyler Shough,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.3223383762943896,0.2656099153549224,8.5,25,3,0,3,2,2026-09-19 21:26:00+00:00,espn,0.0,25,0,1,3,1,2026-09-20 13:01:00+00:00,espn,0.0,Home,outdoors,grass,M&T Bank Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,80.4,10.6,15.9,15,0.0,3,0.0
2026_02_PHI_TEN,2026,2,PHI,TEN,-5.046050553010779,7.0,1.9539494469892214,TEN,38.8406616091655,39.5,-0.659338390834499,UNDER,21.94335608108814,16.89730552807736,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,13:00,,,Home,,,,2026092007,60202.0,,202609200oti,30629.0,401872939,7043.0,7,7,-325.0,260.0,-118.0,-102.0,-108.0,-112.0,0,outdoors,grass,,,00-0036389,00-0040676,Jalen Hurts,Cam Ward,Nick Sirianni,Robert Saleh,,NAS00,Nissan Stadium,-0.12670107660653956,-0.14830680320611184,Cam Ward,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.027460076641154452,0.020153096309383396,Jalen Hurts,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.21199971054032307,0.07169755241140396,-7.0,25,0,0,2,1,2026-09-19 17:42:00+00:00,espn,0.0,25,1,0,1,2,2026-09-18 23:46:00+00:00,espn,0.0,Home,outdoors,grass,Nissan Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,96.4,2.8,11.0,1,0.0,1,0.0
2026_02_PIT_NE,2026,2,PIT,NE,3.8656647423047654,-5.5,-1.6343352576952346,PIT,44.57304246091206,41.5,3.0730424609120632,OVER,20.35368885930365,24.219353601608415,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,13:00,,,Home,,,,2026092004,60199.0,,202609200nwe,30626.0,401872946,7040.0,7,11,190.0,-230.0,-108.0,-112.0,-112.0,-108.0,0,outdoors,fieldturf,,,00-0023459,00-0039851,Aaron Rodgers,Drake Maye,Mike McCarthy,Mike Vrabel,,BOS00,Gillette Stadium,0.025992246495979705,0.012008235757752317,Drake Maye,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.0631829014556502,-0.06586803133093624,Aaron Rodgers,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.1372139101656348,0.026347031362281746,5.5,25,2,0,2,1,2026-09-19 18:40:00+00:00,espn,0.0,25,2,0,1,0,2026-09-19 19:16:00+00:00,espn,0.0,Home,outdoors,fieldturf,Gillette Stadium,True,open-meteo,2026-09-20 17:00:00+00:00,59.6,6.3,15.2,71,0.0,3,0.0
2026_02_JAX_DEN,2026,2,JAX,DEN,-5.723987869970007,-2.5,-8.223987869970006,JAX,47.12637580114216,45.5,1.62637580114216,OVER,26.425181835556085,20.701193965586075,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,16:05,,,Home,,,,2026092008,60203.0,,202609200den,30630.0,401872940,7044.0,7,6,124.0,-148.0,100.0,-120.0,-110.0,-110.0,0,outdoors,grass,,,00-0036971,00-0039732,Trevor Lawrence,Bo Nix,Liam Coen,Sean Payton,,DEN00,Empower Field at Mile High,0.0259279901587642,-0.00646702152451083,Bo Nix,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.07240825669775465,0.07751777668062577,Trevor Lawrence,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.31786633363863126,-0.050135631975928054,2.5,25,3,0,1,3,2026-09-20 10:44:00+00:00,espn,0.0,25,0,0,0,1,2026-09-19 18:12:00+00:00,espn,0.0,Home,outdoors,grass,Empower Field at Mile High,True,open-meteo,2026-09-20 20:00:00+00:00,76.1,6.2,15.7,1,0.0,0,0.0
2026_02_LV_LAC,2026,2,LV,LAC,1.093731550969569,-6.5,-5.406268449030431,LV,47.70066898642278,43.5,4.200668986422777,OVER,23.303468717726602,24.397200268696174,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,16:05,,,Home,,,,2026092009,60204.0,,202609200sdg,30631.0,401872941,7045.0,7,7,250.0,-310.0,102.0,-122.0,-110.0,-110.0,1,dome,matrixturf,,,00-0029604,00-0036355,Kirk Cousins,Justin Herbert,Klint Kubliak,Jim Harbaugh,,LAX01,SoFi Stadium,-0.03307724886696181,-0.08730304782004228,Justin Herbert,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.0043515202632863174,-0.1358298803348267,Kirk Cousins,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.5320743844874162,1.2900919646939688,6.5,25,2,0,2,1,2026-09-20 10:16:00+00:00,espn,0.0,25,2,1,0,0,2026-09-20 13:24:00+00:00,espn,0.0,Home,dome,matrixturf,SoFi Stadium,True,open-meteo,2026-09-20 20:00:00+00:00,77.3,8.5,10.1,0,0.0,3,0.0
2026_02_MIA_SF,2026,2,MIA,SF,8.313060389875334,-13.5,-5.186939610124666,MIA,44.31998238663853,44.5,-0.18001761336147126,UNDER,18.0034609983816,26.31652138825693,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-20,Sunday,16:25,,,Home,,,,2026092012,60207.0,,202609200sfo,30634.0,401872942,7048.0,7,10,625.0,-950.0,-110.0,-110.0,-105.0,-115.0,0,outdoors,grass,,,00-0038128,00-0037834,Malik Willis,Brock Purdy,Jeff Hafley,Kyle Shanahan,,SFO01,Levi's Stadium,0.08030481016627745,0.06949250463130513,Brock Purdy,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.012580892159605702,-0.022398444870762306,Malik Willis,Embedded team QB,2026-09-20 12:14:30+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.10609250437025546,0.34322425080937696,13.5,25,0,0,2,2,2026-09-20 10:55:00+00:00,espn,0.0,25,1,0,1,2,2026-09-19 21:21:00+00:00,espn,0.0,Home,outdoors,grass,Levi's Stadium,True,open-meteo,2026-09-20 20:00:00+00:00,66.4,6.8,8.3,1,0.0,3,0.0
