season,week,team,player_id,player_name,position_group,status,report_date,source
2026,2,ARI,,Bam Knight,RB,active,2026-09-15 01:37:00+00:00,espn
2026,2,ARI,,Kendrick Bourne,WR,active,2026-09-14 23:09:00+00:00,espn
2026,2,ARI,,Isaiah Adams,IOL,out,2026-09-14 19:27:00+00:00,espn
2026,2,ARI,,Dadrion Taylor-Demerson,S,out,2026-09-14 19:26:00+00:00,espn
2026,2,ARI,,Garrett Williams,CB,out,2026-09-14 19:26:00+00:00,espn
2026,2,ARI,,Chad Ryland,PK,active,2026-09-14 16:03:00+00:00,espn
2026,2,ARI,,Andrew Billings,IDL,active,2026-09-14 15:05:00+00:00,espn
2026,2,ARI,,Reggie Virgil,WR,active,2026-09-14 15:05:00+00:00,espn
2026,2,ARI,,Marvin Harrison Jr.,WR,active,2026-09-14 03:16:00+00:00,espn
2026,2,ARI,,Michael Wilson,WR,active,2026-09-14 03:08:00+00:00,espn
2026,2,ARI,,Tyler Allgeier,RB,active,2026-09-14 03:03:00+00:00,espn
2026,2,ARI,,Jacoby Brissett,QB,active,2026-09-14 02:57:00+00:00,espn
2026,2,ARI,,Trey McBride,TE,active,2026-09-14 01:46:00+00:00,espn
2026,2,ARI,,Jeremiyah Love,RB,active,2026-09-14 01:22:00+00:00,espn
2026,2,ARI,,Kitan Crawford,S,questionable,2026-09-13 23:16:00+00:00,espn
2026,2,ARI,,Carson Beck,QB,active,2026-09-13 19:21:00+00:00,espn
2026,2,ARI,,Blake Gillikin,P,active,2026-09-10 00:57:00+00:00,espn
2026,2,ARI,,Will Johnson,CB,active,2026-09-10 00:35:00+00:00,espn
2026,2,ARI,,Kaleb Proctor,IDL,unknown,2026-09-08 20:42:00+00:00,espn
2026,2,ARI,,Zachary Carter,IDL,unknown,2026-08-31 22:42:00+00:00,espn
2026,2,ARI,,Tip Reiman,TE,out,2026-08-31 03:56:00+00:00,espn
2026,2,ARI,,James Conner,RB,unknown,2026-08-30 21:50:00+00:00,espn
2026,2,ARI,,Hunter Long,TE,active,2026-08-30 14:30:00+00:00,espn
2026,2,ARI,,Jalen Brooks,WR,active,2026-08-30 03:31:00+00:00,espn
2026,2,ARI,,Elijah Higgins,TE,active,2026-08-29 04:11:00+00:00,espn
2026,2,ATL,,Nick Folk,PK,active,2026-09-15 01:06:00+00:00,espn
2026,2,ATL,,Olamide Zaccheaus,WR,active,2026-09-15 01:02:00+00:00,espn
2026,2,ATL,,Zachariah Branch,WR,active,2026-09-15 00:55:00+00:00,espn
2026,2,ATL,,Da'Shawn Hand,IDL,out,2026-09-14 23:17:00+00:00,espn
2026,2,ATL,,Jahan Dotson,WR,active,2026-09-14 22:33:00+00:00,espn
2026,2,ATL,,Tua Tagovailoa,QB,out,2026-09-14 19:27:00+00:00,espn
2026,2,ATL,,Michael Penix Jr.,QB,out,2026-09-14 19:27:00+00:00,espn
2026,2,ATL,,Billy Bowman Jr.,CB,out,2026-09-14 19:27:00+00:00,espn
2026,2,ATL,,Malcolm DeWalt IV,CB,active,2026-09-14 15:06:00+00:00,espn
2026,2,ATL,,Christian Harris,LB,active,2026-09-14 15:06:00+00:00,espn
2026,2,ATL,,Ethan Onianwa,OT,active,2026-09-14 15:06:00+00:00,espn
2026,2,ATL,,Brian Robinson Jr.,RB,active,2026-09-14 01:55:00+00:00,espn
2026,2,ATL,,Kyle Pitts Sr.,TE,active,2026-09-14 00:37:00+00:00,espn
2026,2,ATL,,Cooper Rush,QB,active,2026-09-14 00:09:00+00:00,espn
2026,2,ATL,,Drake London,WR,active,2026-09-13 21:52:00+00:00,espn
2026,2,ATL,,Bijan Robinson,RB,active,2026-09-13 21:45:00+00:00,espn
2026,2,ATL,,Chris Lindstrom,IOL,questionable,2026-09-13 20:01:00+00:00,espn
2026,2,ATL,,Za'Darius Smith,EDGE,active,2026-09-13 15:43:00+00:00,espn
2026,2,ATL,,Cameron Williams,IOL,unknown,2026-09-12 20:59:00+00:00,espn
2026,2,ATL,,Jack Strand,QB,active,2026-09-11 23:25:00+00:00,espn
2026,2,ATL,,Jawaan Taylor,OT,active,2026-09-11 18:00:00+00:00,espn
2026,2,ATL,,Kendal Daniels,LB,active,2026-09-11 17:59:00+00:00,espn
2026,2,ATL,,Brandon Dorlus,IDL,active,2026-09-11 17:59:00+00:00,espn
2026,2,ATL,,Kyle Hinton,IOL,active,2026-09-10 19:52:00+00:00,espn
2026,2,ATL,,Trey Sermon,RB,unknown,2026-09-08 20:42:00+00:00,espn
2026,2,BAL,,Malaki Starks,S,active,2026-09-15 04:21:00+00:00,espn
2026,2,BAL,,Roquan Smith,LB,active,2026-09-15 04:16:00+00:00,espn
2026,2,BAL,,Chris Moore,WR,active,2026-09-15 02:45:00+00:00,espn
2026,2,BAL,,Matthew Hibner,TE,active,2026-09-15 00:37:00+00:00,espn
2026,2,BAL,,Justice Hill,RB,active,2026-09-14 22:04:00+00:00,espn
2026,2,BAL,,Rashod Bateman,WR,active,2026-09-14 21:55:00+00:00,espn
2026,2,BAL,,Devontez Walker,WR,out,2026-09-14 19:27:00+00:00,espn
2026,2,BAL,,Nnamdi Madubuike,IDL,out,2026-09-14 19:27:00+00:00,espn
2026,2,BAL,,Teddye Buchanan,LB,out,2026-09-14 19:27:00+00:00,espn
2026,2,BAL,,Ja'Kobi Lane,WR,doubtful,2026-09-14 19:19:00+00:00,espn
2026,2,BAL,,Zay Flowers,WR,questionable,2026-09-14 19:16:00+00:00,espn
2026,2,BAL,,Tyler Loop,PK,active,2026-09-14 16:11:00+00:00,espn
2026,2,BAL,,Chandler Rivers,CB,active,2026-09-14 15:06:00+00:00,espn
2026,2,BAL,,Emery Jones Jr.,OT,active,2026-09-14 15:06:00+00:00,espn
2026,2,BAL,,Mark Andrews,TE,active,2026-09-14 00:23:00+00:00,espn
2026,2,BAL,,Lamar Jackson,QB,active,2026-09-13 21:34:00+00:00,espn
2026,2,BAL,,Derrick Henry,RB,active,2026-09-13 21:24:00+00:00,espn
2026,2,BAL,,T.J. Tampa,CB,questionable,2026-09-13 17:51:00+00:00,espn
2026,2,BAL,,Joe Fagnano,QB,active,2026-09-13 15:59:00+00:00,espn
2026,2,BAL,,Elijah Sarratt,WR,active,2026-09-13 15:54:00+00:00,espn
2026,2,BAL,,Aeneas Peebles,IDL,active,2026-09-10 00:38:00+00:00,espn
2026,2,BAL,,Jay Higgins IV,LB,active,2026-09-10 00:33:00+00:00,espn
2026,2,BAL,,Bilhal Kone,CB,unknown,2026-09-08 20:42:00+00:00,espn
2026,2,BAL,,Jovaughn Gwyn,IOL,active,2026-09-08 00:12:00+00:00,espn
